RF00004	Gene; snRNA; splicing;	U2 spliceosomal RNA
RF01412	Gene; sRNA;	BsrG
RF01415	Cis-reg;	Flavivirus 3'UTR stem loop IV
RF01417	Cis-reg;	Retroviral 3'UTR stability element
RF01418	Cis-reg;	HIV pol-1 stem loop
RF01453	Cis-reg;	3'TE-DR1 translation enhancer element
RF01454	Cis-reg;	5'UTR enhancer element
RF01458	Gene; antisense;	Listeria snRNA rli23
RF01466	Gene; sRNA;	Listeria sRNA rli34
RF01479	Gene; sRNA;	Listeria sRNA rli48
RF01486	Cis-reg;	Listeria sRNA rli62
RF01492	Gene; sRNA;	Listeria sRNA rli28
RF01497	Cis-reg;	ALIL pseudoknot
RF01508	Cis-reg;	Barley yellow dwarf virus 5'UTR
RF01516	Gene; snRNA; snoRNA; CD-box;	Human herpesvirus 1 small nucleolar RNA
RF01668	Gene; sRNA;	Pseudomonas sRNA P10
RF01695	Gene; antisense;	C4 antisense RNA
RF01704	Cis-reg;	Downstream peptide RNA
RF01717	Cis-reg;	PhotoRC-II RNA
RF01739	Cis-reg; riboswitch;	Glutamine riboswitch
RF01745	Cis-reg;	manA RNA
RF01761	Cis-reg;	wcaG RNA
RF01768	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01785	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01789	Gene; sRNA;	Epstein-Barr virus EBER1
RF01790	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01792	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01794	Gene; antitoxin;	sok antitoxin (CssrC)
RF01802	Gene; snRNA;	Herpesvirus saimiri U RNA1/RNA2
RF01804	Cis-reg; thermoregulator;	Lambda phage CIII thermoregulator element
RF01828	Gene; sRNA;	Small pathogenicity island RNA D
RF01833	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01834	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01835	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01836	Cis-reg; frameshift_element;	ribosomal frameshift site
RF01837	Cis-reg; frameshift_element;	togavirus ribosomal frameshift element
RF01838	Cis-reg; frameshift_element;	sobemovirus ribosomal frameshift elemental
RF01839	Cis-reg; frameshift_element;	eastern equine encephalitis ribosomal frameshift element
RF01840	Cis-reg; frameshift_element;	ribosomal frameshift element
RF01841	Cis-reg; frameshift_element;	venezuelan equine encephalitis virus ribosomal frameshift element
RF01940	Gene; miRNA;	microRNA hvt-mir-H9
RF02004	Intron;	Group II catalytic intron D1-D4-5
RF02012	Intron;	Group II catalytic intron D1-D4-7
RF02032	Gene;	Giant, ornate, lake- and Lactobacillales-derived (GOLLD) RNA
RF02033	Gene;	HNH endonuclease-associated RNA and ORF (HEARO) RNA
RF02076	Gene; sRNA;	Gammaproteobacterial sRNA STnc100
RF02111	Gene;	IS009
RF02221	Gene; sRNA;	sRNA-Xcc1
RF02276	Gene; ribozyme;	Hammerhead ribozyme (type II)
RF02340	Cis-reg;	Dengue virus SLA
RF02359	Cis-reg;	Bacteriophage MS2 operator hairpin
RF02415	Gene; sRNA;	Listeria sRNA rliG
RF02416	Cis-reg;	Turnip crinkle virus 3'UTR
RF02435	Gene; sRNA;	Streptococcus sRNA SpF41
RF02455	Cis-reg;	Dianthovirus RNA2 cap-independent translation element
RF02456	Cis-reg;	Dianthovirus RNA2 3'UTR stem loops
RF02457	Cis-reg;	Tombusvirus 3' cap-independent translation element
RF02458	Cis-reg;	Aureusvirus cap-independent translation element
RF02459	Cis-reg;	Necrovirus cap-independent translation element
RF02460	Cis-reg;	Satellite tobacco necrosis virus cap-independent translation element
RF02461	Cis-reg;	Blackcurrant reversion virus cap-independent translation element
RF02521	Cis-reg;	Pea enation mosaic virus-2 cap-independent translation element
RF02522	Cis-reg;	Pea enation mosaic virus-2 cap-independent translation element
RF02532	Cis-reg;	Murine norovirus 3'UTR
RF02533	Cis-reg;	Hepatitis A virus (HAV) cis-acting replication element (CRE)
RF02534	Cis-reg;	Norovirus cis-acting replication element (CRE)
RF02536	Cis-reg;	Avian encephalitis virus (AEV) cis-acting replication element (CRE)
RF02549	Cis-reg;	Pseudoknot PSK3
RF02577	Gene; sRNA;	S. aureus tsr24 small RNA
RF02585	Cis-reg;	Hepatitis C virus RNA packaging signal
RF02586	Cis-reg;	Hepatitis C virus RNA packaging signal 733
RF02587	Cis-reg;	Hepatitis C virus RNA packaging signal 4629
RF02588	Cis-reg;	Hepatitis C virus RNA packaging signal 6067
RF02589	Gene; sRNA;	S. pyogenes small RNA 779816
RF02595	Gene;	Epstein-Barr virus stable intronic sequence RNA 1
RF02598	Gene;	Epstein-Barr virus stable intronic sequence RNA 2
RF02626	Gene; sRNA;	Wolbachia sRNA 59
RF02658	Cis-reg; IRES;	Rhopalosiphum padi virus 5'UTR internal ribosome entry site
RF02672	Gene; sRNA;	Small pathogenicity island RNA X
RF02679	Gene; ribozyme;	Pistol ribozyme
RF02702	Gene; sRNA;	Anti GcvB sRNA
RF02703	Gene; sRNA;	Anti stx2 sRNA
RF02712	Gene; sRNA;	Epstein-Barr virus EBER2
RF02743	Gene; antisense;	Saccharopolyspora sRNA 389
RF02816	Cis-reg;	Hepatitis B virus post-transcriptional regulatory element 1151-1410
RF02838	Gene; sRNA;	Enterococcus sRNA 55
RF02848	Gene; sRNA;	Enterococcus sRNA B11
RF02855	Gene; antisense;	Yersinia sRNA 251
RF02892	Gene; antisense;	Bacillus SR6 antitoxin
RF02897	Gene; sRNA;	Staphylococcus sRNA 808
RF02900	Gene; sRNA;	Aggregatibacter sRNA 82
RF02910	Cis-reg;	Coronavirus 5' stem-loops 1-2
RF02911	Cis-reg;	Baculoviridae Nucleocapsid Assembly essential Element
RF02921	Gene; sRNA;	RT-14 RNA
RF02924	Gene; sRNA;	skipping-rope RNA
RF02931	Gene; sRNA;	Bacilli-1 RNA
RF02944	Gene; sRNA;	c4-2 RNA
RF02996	Gene; sRNA;	int-alpA RNA
RF03003	Cis-reg;	GP20-b RNA
RF03010	Gene; sRNA;	mcrA RNA
RF03021	Gene; sRNA;	RT-18 RNA
RF03022	Gene; sRNA;	RT-10 RNA
RF03044	Gene; sRNA;	Proteo-phage-1 RNA
RF03064	Gene; sRNA;	RAGATH-18 RNA
RF03075	Gene; sRNA;	DUF3800-VIII RNA
RF03085	Gene; sRNA;	abiF RNA
RF03087	Gene; sRNA;	ROOL RNA
